"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"4402","16E245","IA","105",76,"No","Yes","No",0,10.593,84.38,18.75,79.69,53.19,0,34.38,65.63,0,".",0.1269
"4405","16E249","IA","109",90,"Yes","No","No",2.47,11.075,83.42,13.75,72.5,61.97,0,28.75,57.5,13.75,".",0.0528
"4408","16E262","IA","141",68,"Yes","No","No",0,10.696,84.28,20.59,76.47,35.9,0,27.94,54.41,17.65,".",0.0678
"4417","16E301","IA","113",201,"Yes","No","No",0,12.294,79.2,23.08,76.92,64.58,0,34.75,56.78,8.47,"0.1897",0.1596
"4444","16E354","IA","139",155,"Yes","No","No",0,11.248,83.56,21.14,77.24,57.31,0,39.37,34.65,25.98,".",0.2042
"4460","16E383","IA","153",130,"No","Yes","No",0,10.744,82.47,25.61,79.27,60.27,0,29.63,50.62,19.75,".",0.1815
"4467","16E405","IA","153",79,"Yes","No","No",0,12.396,86.07,20.69,72.41,66.67,0,37.29,44.07,18.64,".",0.146
"4486","16E445","IA","167",64,"No","Yes","No",0,9.169,84.79,22.22,88.89,70,0,53.33,46.67,0,"0.1238",0.1162
"4488","16E448","IA","169",180,"Yes","No","No",0,11.364,85.13,14.84,74.22,64.4,0,17.69,74.62,7.69,".",0.1251
"4497","16E466","IA","175",74,"No","Yes","No",0,11.427,81.74,21.43,75,50.35,0,41.07,58.93,0,".",0.1306
"4499","16E473","IA","179",146,"Yes","No","No",0,12.002,83.81,16.92,79.23,63.59,0,30.77,56.15,13.08,".",0.1617
"4520","16E518","IA","193",85,"No","No","No",0,11.507,83.76,15.63,71.88,62.59,0,44.62,32.31,23.08,"0.1722",0.1905
"4565","16E590","IA","197",46,"No","No","No",0,9.43,86.86,33.33,54.55,61.77,0,50,50,0,".",0
"4567","16E594","IA","113",67,"No","No","No",2.04,10.03,80.62,26.53,73.47,67.39,0,48.98,51.02,0,".",0.0364
"4581","16E611","IA","197",76,"Yes","Yes","No",0,10.045,83.87,22.45,69.39,52.7,0,35.42,64.58,0,".",0.1766
"4587","16E621","IA","061",102,"No","Yes","No",0,10.899,75.25,24.56,71.93,56.15,0,56.9,43.1,0,"0.1920",0.1278
"4620","16E673","IA","191",51,"No","No","No",0,9.92,88.84,21.74,82.61,64.29,0,42.22,57.78,0,".",0.0655
"4651","175044","KS","177",97,"Yes","No","No",0,11.613,87.8,14.08,53.52,72.08,0,26.76,43.66,29.58,"0.1387",0.1162
"4654","175078","KS","173",85,"No","Yes","No",0,11.836,68.15,19.4,71.64,37.33,0,42.65,41.18,16.18,"0.1782",0.1063
"4655","175100","KS","161",93,"No","No","No",0,11.972,81.88,17.33,76,63.73,0,24.64,59.42,15.94,".",0.1814
"4660","175115","KS","091",170,"Yes","No","No",0,12.383,82.57,17.61,82.39,73.79,0,33.8,52.82,13.38,".",0.1623
"4662","175118","KS","173",109,"No","No","No",0,12.023,83.77,22.22,68.89,56.34,0,32.22,46.67,21.11,".",0.1481
"4663","175122","KS","091",250,"Yes","Yes","No",0.53,11.88,79.2,11.24,74.56,48.91,0,31.1,53.05,15.85,".",0.1636
"4678","175158","KS","091",163,"Yes","Yes","No",0,13.325,82.75,7.19,67.97,51,0,7.1,72.9,20,".",0.0807
"4691","175176","KS","091",120,"Yes","Yes","No",0,10.761,69.21,22.43,67.29,39.31,0,39.25,47.66,13.08,"0.2576",0.2149
"4697","175185","KS","169",90,"Yes","Yes","No",0,12.254,75.93,16.42,70.15,59.85,0,37.31,47.76,14.93,".",0.1404
"4711","175242","KS","091",172,"No","No","No",0,12.243,87.92,39.52,73.39,63.71,0,30.4,60,9.6,"0.1069",0.1439
"4717","175446","KS","079",60,"No","Yes","No",0,9.719,82.83,40,88.57,65.96,0,65.71,34.29,0,"0.1753",0.0623
"4727","175517","KS","091",100,"No","Yes","No",0,12.868,83.56,22.92,83.33,66.76,0,51.02,48.98,0,"0.1409",0.1658
"4739","17A082","KS","173",134,"Yes","Yes","No",0,12.12,81.31,26.19,60.71,63.04,0,53.57,32.14,14.29,"0.1451",0.1246
"4772","17E083","KS","113",74,"Yes","No","No",0,12.672,86.11,24.62,84.62,53.62,0,32.31,47.69,20,".",0.2298
"4779","17E095","KS","079",60,"Yes","No","No",0,11.032,85.8,38.46,78.85,66.67,0,36.54,44.23,19.23,".",0.1703
"4835","17E264","KS","059",93,"No","No","No",3.28,13.099,86.36,25.81,87.1,70.32,0,51.61,33.87,14.52,".",0.1745
"4837","17E266","KS","103",58,"No","Yes","No",0,11.133,79.71,29.17,77.08,52.85,0,52.08,47.92,0,"0.2510",0.2396
"4845","17E287","KS","091",140,"Yes","No","No",0,11.182,84.5,12.8,88,57.55,0,30.4,56.8,12.8,".",0.2266
"4912","17E476","KS","177",81,"Yes","Yes","No",1.33,13.264,73.96,26.03,72.6,52.7,0,26.03,60.27,13.7,"0.1326",0.2109
"4921","17E498","KS","155",95,"No","No","No",0,11.18,83.61,16.95,91.53,65.6,0,44.07,55.93,0,"0.2651",0.1917
"4936","17E543","KS","133",53,"No","Yes","No",0,10.834,81.44,32.5,90,62.21,0,40,60,0,".",0.158
"4940","17E550","KS","177",196,"Yes","No","No",0,12.113,83.71,22.76,82.76,68.46,0,36.91,51.01,12.08,".",0.1334
"4944","17E556","KS","173",70,"No","Yes","No",0,10.196,67.48,18.87,79.25,49.21,0,46.15,53.85,0,".",0.1534
"4945","17E557","KS","173",106,"Yes","Yes","No",1.33,11.41,73.18,13.33,72,42.74,0,38.67,45.33,16,"0.2225",0.1322
"4949","17E563","KS","125",147,"Yes","Yes","No",0,11.864,84.08,24.78,74.34,65,0,26.32,55.26,18.42,"0.1496",0.1737
"4951","17E566","KS","173",176,"Yes","No","No",0,12.017,83.18,36.36,81.06,61.47,0,34.62,50.77,14.62,".",0.1076
"4953","17E570","KS","155",110,"No","No","No",0,11.884,86.56,13.41,76.83,72.02,0,45.78,54.22,0,"0.2091",0.1249
"4969","185003","KY","125",160,"Yes","No","No",0,13.548,82.63,28.95,81.58,66.42,0,26.32,52.63,21.05,".",0.1301
"4970","185005","KY","035",226,"No","No","Yes",0,12.373,83.24,22.05,79.53,62.41,0,42.19,48.44,9.38,"0.1305",0.213
"4971","185006","KY","031",122,"No","Yes","No",0,12.631,79.59,28.57,84.62,60.8,0,35.16,53.85,10.99,".",0.1961
"4979","185039","KY","111",154,"No","Yes","No",0,12.522,71.53,24.53,79.25,53.73,0,36.45,48.6,14.95,"0.2681",0.2719
"4986","185057","KY","123",137,"No","Yes","No",11.2,12.921,82.11,35.24,81.9,56.93,0,29.25,54.72,16.04,".",0.1725
"4989","185065","KY","079",96,"No","Yes","No",1.08,13.013,78.46,20.51,76.92,65.93,0,40.51,46.84,12.66,".",0.2305
"4992","185087","KY","059",132,"No","Yes","No",1.65,12.326,73.89,14.29,73.21,57.05,0,41.07,48.21,10.71,"0.2058",0.1164
"4993","185089","KY","227",176,"No","Yes","No",0,12.692,79.31,27.2,76,57.21,0,32.03,60.16,7.81,".",0.1451
"4994","185090","KY","015",151,"No","Yes","No",0,11.818,68.15,36.63,86.14,51.71,0,48.51,40.59,10.89,"0.1964",0.1938
"4995","185093","KY","009",194,"No","Yes","No",0.58,11.957,80.75,30.19,83.65,57.48,0,38.61,51.27,10.13,".",0.1461
"4996","185094","KY","195",106,"No","Yes","No",6.9,13.012,77.51,27.85,86.08,58.67,0,32.5,48.75,18.75,"0.2297",0.2333
"5002","185120","KY","059",156,"No","Yes","No",0,12.363,82.05,22.33,67.96,62.72,0,43.81,40,16.19,"0.1617",0.1405
"5003","185122","KY","111",252,"No","Yes","No",0.88,12.946,76.95,32.68,80.49,63.67,0,46.38,47.34,6.28,".",0.2461
"5004","185124","KY","101",222,"Yes","No","No",0,12.057,81.52,18.06,82.58,67.38,0,26.45,61.29,12.26,"0.1943",0.2015
"5005","185125","KY","125",120,"No","Yes","No",0,13.106,73.96,17.53,87.63,60.23,0,47.42,41.24,11.34,"0.2436",0.2055
"5006","185125","KY","235",120,"No","Yes","No",0,13.106,73.96,17.53,87.63,60.23,0,47.42,41.24,11.34,"0.2436",0.2055
"5011","185134","KY","193",200,"No","Yes","No",1.04,13.384,72.14,19.21,82.12,63.5,0,27.15,60.26,12.58,"0.2564",0.2169
"5013","185137","KY","111",112,"No","No","No",0,12.856,84.15,21.69,71.08,70.31,0,26.51,57.83,15.66,"0.1651",0.1867
"5017","185144","KY","067",136,"No","Yes","No",0.78,12.215,81.39,23.15,93.52,61.24,0,30.91,55.45,13.64,".",0.1847
"5021","185148","KY","235",125,"No","Yes","No",0,14.063,78.32,24.32,90.09,65.13,0,34.82,56.25,8.93,".",0.1259
"5023","185150","KY","119",92,"No","Yes","No",5.62,13.098,76.4,13.92,72.15,56.12,0,30.38,54.43,15.19,"0.1194",0.1938
"5025","185152","KY","199",166,"No","Yes","No",0.81,12.656,78.42,18.35,84.4,63.53,0,12.73,71.82,15.45,".",0.2105
"5031","185164","KY","121",135,"No","Yes","No",1.49,12.946,75.97,25.81,84.68,67.74,0,31.45,60.48,8.06,"0.1148",0.1565
"5032","185165","KY","111",145,"Yes","Yes","No",0,13.434,75.47,20.51,82.91,55.06,0,30.17,55.17,14.66,".",0.2117
"5033","185166","KY","095",143,"No","Yes","No",1.42,12.234,73.21,19.13,86.09,67.67,0,31.03,53.45,15.52,"0.2043",0.2083
"5038","185171","KY","145",228,"No","Yes","No",0,12.544,81.42,24.68,88.96,61.54,0,34.42,54.55,11.04,"0.2002",0.1939
"5041","185174","KY","015",150,"Yes","Yes","No",0,12.362,81.45,28.3,69.81,69.43,0,27.36,41.51,31.13,"0.2568",0.2355
"5045","185178","KY","111",178,"Yes","Yes","No",0,13.244,73.16,10.94,74.22,64.09,0,32,53.6,14.4,"0.2074",0.1724
"5046","185180","KY","093",148,"No","Yes","No",0.79,11.174,79.94,37.5,83.65,59.24,0,51.92,36.54,11.54,"0.1061",0.1735
"5054","185197","KY","067",150,"No","Yes","No",0,13.077,81.63,18.26,78.26,66.77,0,33.04,46.09,20.87,"0.2026",0.1873
"5055","185200","KY","133",142,"No","Yes","No",2.54,12.46,73.85,27,75,61.06,0,22.77,64.36,12.87,"0.2637",0.2549
"5064","185213","KY","237",100,"No","Yes","No",1.01,12.737,78.76,26.97,73.03,68,0,32.58,44.94,22.47,".",0.2151
"5067","185218","KY","199",123,"No","Yes","No",0,13.802,83.38,20.65,81.52,67.68,0,36.96,45.65,17.39,"0.1735",0.1901
"5069","185220","KY","113",73,"No","Yes","No",0,12.599,79.22,27.45,70.59,64.41,0,35.29,64.71,0,"0.2526",0.2391
"5070","185221","KY","153",142,"No","Yes","No",2.52,13.859,74,25,81.48,61.48,0,36.11,38.89,25,".",0.2662
"5071","185222","KY","195",118,"No","No","No",1.23,13.219,74.36,25.37,65.67,55.15,0,25.35,52.11,22.54,"0.3255",0.309
"5078","185229","KY","009",94,"No","Yes","No",0,12.419,84.82,16.05,62.96,69.93,0,29.63,53.09,17.28,".",0.1295
"5081","185234","KY","157",95,"No","No","No",1.25,13.081,83.32,18.92,83.78,63.54,0,37.84,47.3,14.86,".",0.1864
"5085","185240","KY","013",95,"No","Yes","No",0,14.084,83.8,53.01,93.98,68.89,0,38.37,48.84,12.79,".",0.1395
"5087","185242","KY","173",144,"No","Yes","No",0,12.979,82.9,30.7,89.47,72.47,0,36.84,51.75,11.4,".",0.1843
"5089","185244","KY","137",128,"No","Yes","No",0.84,12.217,80.12,20.41,81.63,55.78,0,36.36,48.48,15.15,".",0.1784
"5090","185246","KY","203",104,"No","Yes","No",1.08,12.519,79.36,17.65,77.65,65.78,0,35.63,44.83,19.54,"0.1579",0.1903
"5091","185248","KY","067",119,"Yes","No","No",0,13.514,85.6,11.97,85.47,77.69,0,11.86,73.73,14.41,".",0.18
"5097","185254","KY","011",99,"No","Yes","No",3.19,12.569,80.54,17.28,80.25,60.9,0,23.46,62.96,13.58,".",0.2465
"5101","185259","KY","111",100,"No","Yes","No",0,11.796,72.85,26.03,87.67,75.41,0,36.99,49.32,13.7,"0.1572",0.1816
"5103","185261","KY","089",126,"No","Yes","No",0,12.688,75.8,19.1,67.42,55.06,0,23.33,65.56,11.11,"0.2146",0.2105
"5110","185268","KY","111",98,"No","No","No",0,12.42,85.47,21.13,80.28,62.11,0,25.71,60,14.29,"0.1975",0.2004
"5119","185277","KY","005",94,"No","Yes","No",4.44,13.24,81.58,18.52,81.48,67.61,0,22.89,53.01,24.1,"0.2438",0.1749
"5120","185279","KY","083",98,"No","No","No",0,12.357,82.6,30.49,74.39,68.95,0,26.83,57.32,15.85,".",0.2024
"5121","185281","KY","185",128,"No","Yes","No",0,12.856,81.73,22.94,81.65,65.29,0,36.7,46.79,16.51,"0.1979",0.1668
"5125","185286","KY","207",114,"No","Yes","No",0,13.719,82.2,18.92,81.98,72,0,28.83,51.35,19.82,".",0.1559
"5127","185288","KY","111",128,"No","Yes","No",0,12.489,80.36,17.2,83.87,67.1,0,29.79,59.57,10.64,".",0.1965
"5130","185293","KY","051",106,"No","Yes","No",0,14.29,78.07,37.68,86.96,67.24,0,20,62.86,17.14,"0.2190",0.1933
"5131","185294","KY","177",97,"Yes","Yes","No",1.05,12.378,77.2,25.88,75.29,53.28,0,29.89,43.68,26.44,"0.1554",0.1661
"5134","185300","KY","111",165,"No","Yes","No",0,13.131,78.18,27.19,82.46,60.57,0,36.61,63.39,0,"0.2381",0.1832
"5135","185301","KY","111",186,"No","Yes","No",0,11.915,73.91,16.67,77.33,53.08,0,33.77,56.29,9.93,"0.2255",0.2482
"5147","185316","KY","033",104,"No","No","No",1.72,12.263,77.57,30.36,76.79,62.6,0,26.79,51.79,21.43,".",0.1761
"5148","185317","KY","177",62,"No","Yes","No",0,13.692,83.04,26.32,71.93,68.03,0,29.31,44.83,25.86,"0.2201",0.194
"5155","185346","KY","059",92,"No","Yes","No",0,13.151,83.8,22.06,89.71,68.39,0,35.29,48.53,16.18,"0.1235",0.1107
"5157","185349","KY","111",95,"No","Yes","No",0,11.575,86.39,22.81,77.19,60.67,0,49.12,50.88,0,"0.1262",0.1431
"5166","185388","KY","111",167,"No","No","No",0,12.306,81.82,24.04,78.85,61.71,0,45.37,40.74,13.89,"0.1708",0.172
"5169","185392","KY","019",110,"No","Yes","No",0.93,12.284,84.31,41.94,87.1,70.77,0,29.47,52.63,17.89,"0.1452",0.1851
"5174","185401","KY","061",74,"No","Yes","No",1.49,12.55,81.93,21.82,85.45,54.89,0,25,55.36,19.64,".",0.0909
"5177","185408","KY","045",97,"No","Yes","No",0,12.954,83.89,33.33,88.89,72.03,0,42.47,42.47,15.07,".",0.1614
"5180","185414","KY","115",126,"No","Yes","No",3.45,13.77,81.18,25,88.64,67.02,0,36.67,48.89,14.44,"0.2503",0.1686
"5184","185423","KY","165",60,"No","No","No",0,12.877,81.21,22.64,81.13,60.42,0,35.85,33.96,30.19,"0.2677",0.1246
"5192","185437","KY","155",54,"No","Yes","No",0,12.663,84.3,34.38,81.25,67.35,0,35.29,64.71,0,".",0.0863
"5194","185440","KY","117",100,"No","No","No",0,12.275,85.67,34.57,85.19,68.79,0,40.74,46.91,12.35,"0.1724",0.1161
"5200","185455","KY","111",130,"No","Yes","No",0,12.33,81.48,29.63,67.9,61.43,0,64.63,35.37,0,"0.1487",0.1861
"5201","185456","KY","111",107,"No","Yes","No",0,12.423,81.96,27.03,55.41,59.27,0,31.08,55.41,13.51,"0.2071",0.2507
"5206","185468","KY","111",92,"No","No","No",0,12.068,77.65,14.47,73.68,57,0,27.63,59.21,13.16,"0.3161",0.224
"5210","18E017","KY","235",100,"No","Yes","No",1.02,14.245,72.99,24.71,87.06,60.96,0,48.81,32.14,19.05,"0.2063",0.1673
"5234","18E346","KY","047",72,"No","Yes","No",2.94,13.53,84.27,17.74,77.42,71.7,0,25.4,49.21,25.4,".",0.1096
"5245","195156","LA","071",120,"Yes","No","No",0,12.458,81.39,27.84,81.44,67.1,0,16.49,72.16,11.34,".",0.2041
"5248","195176","LA","051",89,"No","Yes","No",0,12.723,78.5,42.25,88.73,63.1,0,69.01,30.99,0,"0.2970",0.3898
"5252","195184","LA","051",256,"No","Yes","No",0,13.014,80.83,26.26,86.03,62.03,0,22.91,64.8,12.29,"0.2390",0.2236
"5262","195218","LA","051",206,"No","Yes","No",0,13.013,78.26,15.28,81.25,59.71,0,48.97,35.17,15.86,".",0.3064
"5263","195220","LA","103",120,"No","Yes","No",0,12.915,79.71,30.21,82.29,70.41,0,41.67,47.92,10.42,"0.2668",0.2594
"5264","195221","LA","089",146,"Yes","Yes","No",0,12.376,82.49,22.22,74.36,63.36,0,14.41,55.08,30.51,"0.2809",0.2163
"5265","195226","LA","105",140,"No","Yes","No",3.36,13.372,81.46,18.56,85.57,67.44,0,42.27,46.39,11.34,"0.2722",0.2096
"5266","195236","LA","057",180,"Yes","Yes","No",0,12.349,82.57,9.84,88.52,61.27,0,28.69,62.3,9.02,"0.1587",0.1606
"5271","195251","LA","051",104,"No","Yes","No",1.01,11.442,65.52,11.49,70.11,37.23,0,58.62,41.38,0,"0.2232",0.2278
"5273","195257","LA","041",135,"No","Yes","No",0,12.14,77.53,31.25,84.82,64.36,0,38.05,53.1,8.85,"0.1849",0.1724
"5274","195258","LA","037",128,"Yes","Yes","No",0,12.257,82.97,15.09,83.96,73.71,0,35.45,53.64,10.91,".",0.1742
"5276","195266","LA","019",150,"Yes","Yes","No",0,12.732,78.06,20.97,83.2,68.42,0,42.4,48.8,8.8,".",0.2022
"5277","195279","LA","103",145,"Yes","Yes","No",0,12.553,84.27,23.77,79.51,71.18,0,31.15,58.2,10.66,"0.2745",0.1959
"5284","195589","LA","071",171,"No","No","No",15.53,12.08,86.18,16.18,86.76,67.13,0,45.99,54.01,0,"0.3011",0.2027
"5304","19E019","LA","033",132,"No","Yes","No",3.06,14.434,62.01,16.87,77.11,48.49,13.25,62.2,20.73,17.07,"0.2597",0.268
"5305","19E020","LA","003",91,"No","Yes","No",0,10.347,75.11,26.23,86.89,56.99,0,45.76,54.24,0,"0.2182",0.2105
"5307","19E022","LA","049",139,"No","Yes","No",0.76,12.185,82.11,22.02,84.4,69.54,0,38.53,45.87,15.6,"0.1967",0.1614
"5308","19E023","LA","067",110,"Yes","Yes","No",1.02,12.55,75.99,22.22,75.31,55.47,0,25.93,55.56,18.52,"0.3045",0.2594
"5325","19E052","LA","097",109,"No","Yes","No",0,12.802,81.02,19.57,88.04,68.63,0,39.13,50,10.87,".",0.2184
"5326","19E054","LA","105",120,"No","Yes","No",0,12.798,73.8,18.89,70,44.14,0,28.89,56.67,14.44,".",0.2411
"5333","19E068","LA","005",120,"No","Yes","No",0,12.289,79.1,10.1,81.82,61.58,0,30.3,53.54,16.16,"0.1420",0.1204
"5346","19E088","LA","033",123,"No","No","No",7.06,13.854,70.08,12.5,80,53.03,0,26.25,61.25,12.5,"0.2424",0.2473
"5349","19E091","LA","067",125,"Yes","Yes","No",0,12.17,79.33,16.13,75.27,60.33,0,38.71,45.16,16.13,".",0.2673
"5356","19E106","LA","017",98,"No","Yes","No",0,11.945,75.59,18.99,75.95,60.33,0,37.97,41.77,20.25,".",0.1553
"5357","19E107","LA","039",124,"No","Yes","No",0,13.638,77.89,25.88,81.18,74.74,0,32.94,56.47,10.59,"0.1909",0.299
"5360","19E113","LA","055",137,"No","Yes","No",0,13.211,74.51,23.33,84.44,55.17,0,48.89,40,11.11,".",0.1658
"5367","19E124","LA","119",182,"No","Yes","No",0.73,14.242,68.94,8.4,69.75,51.68,17.65,42.86,47.06,10.08,".",0.2072
"5369","19E129","LA","001",112,"No","No","No",0,11.851,80.71,21.28,78.72,59.43,0,54.26,45.74,0,".",0.102
"5374","19E139","LA","055",100,"No","Yes","No",0,14.134,80.33,22.35,89.41,57.14,0,27.06,43.53,29.41,"0.1506",0.1828
"5375","19E142","LA","127",124,"No","Yes","No",2.3,11.421,68.61,15.49,74.65,48.33,0,40.28,43.06,16.67,"0.2404",0.1672
"5376","19E144","LA","017",180,"Yes","Yes","No",0,12.814,69.54,12.82,70.09,57.55,0,28.21,47.01,24.79,"0.3169",0.1674
"5383","19E158","LA","027",79,"No","No","No",0,11.735,80.86,39.02,85.37,53.85,0,44.19,55.81,0,"0.1372",0.2718
"5407","19E197","LA","011",132,"Yes","Yes","No",0,11.137,78.28,22.08,80.52,53.19,0,20.78,61.04,18.18,".",0.1634
"5412","19E205","LA","079",154,"No","No","No",0,12.467,76.74,19.23,88.46,67.15,0,41.03,42.31,16.67,"0.2915",0.1897
"5419","19E216","LA","097",176,"No","Yes","No",0,13.079,80.14,14.58,84.03,62.57,0,9.72,74.31,15.97,"0.1785",0.1488
"5421","19E220","LA","043",140,"No","Yes","No",0,11.795,71.14,10.09,77.98,55.56,0,35.78,54.13,10.09,".",0.1952
"5427","19E228","LA","061",123,"No","Yes","No",0,12.38,80.52,25.37,88.06,64.5,0,37.31,47.76,14.93,"0.2788",0.2939
"5429","19E230","LA","099",124,"No","Yes","No",0,13.23,81.32,27,88,68.79,0,14,73,13,"0.1917",0.2049
"5431","19E232","LA","055",148,"No","Yes","No",0,12.011,79.6,15.38,85.47,62.71,0,38.84,51.24,9.92,"0.2696",0.1592
"5432","19E234","LA","001",130,"Yes","Yes","No",0,11.651,74.44,12.62,88.35,61.49,0,44.66,45.63,9.71,".",0.1519
"5434","19E236","LA","057",126,"No","No","No",0,12.369,83.45,18.69,89.72,78.53,0,43.93,56.07,0,"0.2931",0.243
"5435","19E237","LA","105",108,"No","Yes","No",0,10.471,70.27,17.46,87.3,44.93,0,50,50,0,"0.2232",0.2359
"5439","19E246","LA","045",114,"No","No","No",0,11.766,83.46,14.81,95.06,58.97,0,36.59,51.22,12.2,".",0.1235
"5440","19E247","LA","051",202,"Yes","Yes","No",4.35,13.053,80.89,32.32,89.9,75.54,0,18.81,71.29,9.9,"0.2926",0.1863
"5463","19E284","LA","033",144,"Yes","Yes","No",0,12.627,78.32,12.84,73.39,63.03,0,24.77,57.8,17.43,".",0.2408
"5484","19E315","LA","017",177,"No","Yes","No",1.45,13.105,78.12,16.42,77.61,59.3,0,36.3,55.56,8.15,"0.2608",0.1957
"5489","19E322","LA","103",174,"No","No","No",0,12.569,80.14,21.98,87.91,62.63,0,34.07,65.93,0,"0.2376",0.2276
"5492","19E325","LA","033",144,"Yes","Yes","No",0,13.469,73.26,10.92,78.15,45.65,0,36.13,54.62,9.24,"0.1232",0.2495
"5498","19E334","LA","103",116,"No","No","No",0,12.457,73.2,33.93,91.07,67.17,0,33.33,66.67,0,"0.2958",0.227
"5499","19E335","LA","103",182,"Yes","Yes","No",0,13.036,77.33,24.14,70.11,65.04,0,12.64,68.97,18.39,"0.3622",0.2575
"5501","19E340","LA","019",200,"No","Yes","No",1.52,11.904,77.7,35.48,83.87,57.03,0,46.77,53.23,0,".",0.2637
"5509","19E353","LA","033",216,"Yes","No","No",0,13.07,83.18,17.33,84.67,64.71,0,20,57.33,22.67,"0.1567",0.106
"5515","19E407","LA","071",138,"No","No","No",0,12.871,87.01,13.82,74.8,70.3,0,35.77,53.66,10.57,".",0.2224
"5521","205011","ME","005",219,"Yes","No","No",0.59,13.208,80.13,20.11,60.34,62.28,0,17.14,59.43,23.43,".",0.1673
"5528","205053","ME","001",210,"Yes","No","No",0,12.33,76.82,8.92,63.69,61.88,0,42.5,38.75,18.75,"0.1936",0.2295
"5532","205063","ME","001",109,"Yes","Yes","No",0.93,12.653,83.76,19.1,66.29,69.72,0,21.11,57.78,21.11,".",0.124
"5537","205072","ME","001",108,"No","Yes","No",0,13.821,78.47,20,69.41,49.1,0,52.94,35.29,11.76,".",0.1569
"5591","20E142","ME","005",121,"No","No","No",0,12.007,80.87,24.49,56.12,66.85,0,28.57,55.1,16.33,".",0.2031
"5598","20E157","ME","031",96,"Yes","No","No",0,11.467,82.45,20,62.86,62.09,0,21.74,62.32,15.94,"0.1761",0.1879
"5611","20E181","ME","011",120,"Yes","No","No",0,11.897,82.84,10.89,54.46,13.95,0,22.55,51.96,25.49,"0.0985",0.0987
"5617","20E188","ME","005",120,"No","No","No",0,11.451,84.31,23.71,61.86,10.74,0,31.63,55.1,13.27,".",0.0957
"5619","215001","MD","021",143,"No","Yes","No",0,12.755,72.41,21.18,78.82,52.33,0,54.55,34.09,11.36,"0.1572",0.1445
"5623","215010","MD","041",195,"Yes","Yes","No",3.65,12.329,78.35,13.56,72.03,53.8,0,31.19,51.38,17.43,".",0.1686
"5624","215013","MD","037",160,"No","No","No",2.82,12.811,84.42,8.27,75.19,69.16,0,33.58,48.91,17.52,"0.1495",0.1534
"5625","215014","MD","031",158,"Yes","Yes","No",0,12.71,77.79,14.29,80.95,43.38,0,35.71,47.62,16.67,".",0.1536
"5630","215022","MD","005",100,"No","Yes","No",1.06,14.128,85.68,14.86,70.27,63.13,0,19.48,59.74,20.78,".",0.2065
"5633","215026","MD","031",175,"No","Yes","No",1.38,13.944,82.11,13.11,77.05,58.14,0,25,55.65,19.35,"0.1430",0.1888
"5634","215029","MD","031",172,"No","Yes","No",0,11.553,79.07,11.2,70.4,64.25,0,26.98,61.9,11.11,"0.1741",0.1817
"5635","215031","MD","510",135,"No","Yes","No",0,12.995,67.79,13.59,73.79,38.56,0,50.96,39.42,9.62,"0.2148",0.1504
"5636","215033","MD","510",210,"Yes","No","No",0,14.703,76.52,13.3,67.55,59.81,6.91,38.83,38.83,22.34,"0.0834",0.1387
"5637","215037","MD","510",242,"No","No","No",0,12.759,82.48,19.13,87.98,69.33,0,36.22,44.32,19.46,"0.1144",0.095
"5638","215039","MD","025",184,"No","No","No",0,12.114,81.22,14.47,76.97,65.31,0,38.82,50,11.18,"0.1942",0.2502
"5640","215044","MD","510",162,"No","No","No",0,13.428,84.78,14.08,82.39,74,0,33.33,45.58,21.09,"0.1220",0.1498
"5643","215052","MD","031",99,"No","Yes","No",0,12.42,69.43,19.7,83.33,43.99,0,59.42,26.09,14.49,"0.2212",0.1805
"5644","215054","MD","005",132,"No","Yes","No",0,13.145,77.38,17.65,75.49,53.93,0,40.38,45.19,14.42,"0.1593",0.2096
"5647","215060","MD","031",92,"No","Yes","No",0,12.862,76.68,13.92,83.54,54.8,0,37.5,45,17.5,"0.1396",0.1901
"5648","215064","MD","033",170,"No","Yes","No",0,14.115,70.78,21.36,82.52,44.93,0,61.54,17.31,21.15,"0.1861",0.2154
"5649","215065","MD","031",100,"No","Yes","No",0,11.157,68.46,13.1,78.57,38.94,0,44.58,43.37,12.05,"0.1432",0.0924
"5650","215067","MD","045",305,"Yes","Yes","No",1.45,11.912,76.14,11.57,61.98,53.75,0,41.22,51.02,7.76,".",0.1287
"5652","215069","MD","005",135,"No","Yes","No",0.85,12.435,71.06,22.77,83.17,47.06,0,46.53,37.62,15.84,"0.1980",0.2023
"5653","215071","MD","031",558,"No","No","No",3.23,13.372,84.45,17.7,76.55,60.71,0,31.66,53.52,14.82,"0.1578",0.123
"5654","215073","MD","001",101,"No","No","No",0,12.457,84.05,26.58,77.22,62.11,0,39.02,47.56,13.41,".",0.1806
"5662","215084","MD","005",172,"No","Yes","No",0.67,12.69,69.68,14.62,75.38,49.08,0,45.45,46.21,8.33,"0.1741",0.1981
"5666","215092","MD","031",160,"No","Yes","No",0.68,12.955,81.37,20.15,80.6,53.33,0,36.03,52.94,11.03,"0.2061",0.1722
"5667","215094","MD","013",170,"Yes","Yes","No",0,12.782,77.5,36.11,75,60.6,0,35.78,49.54,14.68,".",0.1687
"5668","215095","MD","031",110,"No","Yes","No",2.27,13.006,76.01,16.05,82.72,49.3,0,34.94,45.78,19.28,"0.2038",0.1706
