"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"1226","056424","CA","037",99,"No","Yes","No",0,16.334,72.33,20.27,79.73,52,21.92,20.55,45.21,34.25,"0.2151",0.1951
"1227","056425","CA","037",99,"No","Yes","No",0,11.884,74.41,20,88.57,57.79,0,44.29,34.29,21.43,".",0.2089
"1232","056431","CA","037",241,"Yes","Yes","No",2.7,16.118,75.02,13.83,85.64,51.43,14.89,29.79,44.15,26.06,"0.1273",0.1728
"1233","056433","CA","037",200,"No","Yes","No",0,12.555,74.39,14.77,76.51,51.91,0,48.32,42.95,8.72,"0.1923",0.1479
"1239","056444","CA","071",140,"No","Yes","No",0,16.137,73.08,19.82,83.78,52.96,19.51,26.13,32.43,41.44,"0.1796",0.1667
"1252","056476","CA","013",113,"No","Yes","No",0,16.236,68.3,14.86,78.38,48.03,13.33,35.14,37.84,27.03,"0.1660",0.1746
"1261","056491","CA","037",117,"No","Yes","No",2.15,13.001,85.7,16.28,75.58,65.06,0,25.58,55.81,18.6,".",0.1586
"1262","056495","CA","067",138,"No","Yes","No",0,12.971,83.29,21.67,65,68.7,0,21.67,61.67,16.67,"0.1546",0.1368
"1281","05A086","CA","037",204,"No","Yes","No",0,16.171,66.53,18.63,73.91,49.21,36.36,36.18,30.26,33.55,".",0.1375
"1284","05A109","CA","037",167,"No","Yes","No",0,5.235,48.14,0,34.72,24.21,0,67.83,32.17,0,"0.0000",0.0486
"1313","05A252","CA","059",99,"Yes","No","No",1.3,11.81,83.9,20.59,86.76,64.46,0,23.88,55.22,20.9,"0.1678",0.1776
"1318","05A267","CA","059",115,"No","Yes","No",0,14.897,78.22,15.91,81.82,48.93,0,10,77.78,12.22,".",0.155
"1348","05A383","CA","073",120,"No","Yes","No",0,12.113,78.35,34.48,78.16,54.78,0,58.62,28.74,12.64,"0.1559",0.1254
"1350","05A394","CA","079",65,"No","Yes","No",0,11.977,83.85,19.64,73.21,59.42,0,43.86,26.32,29.82,".",0.1341
"1353","05A397","CA","037",208,"No","Yes","No",0,5.076,50.51,0,49.59,23,0,86.99,13.01,0,"0.0684",0.0687
"1368","065001","CO","001",108,"No","Yes","No",0,11.205,76.17,15.15,74.24,56.52,0,46.97,37.88,15.15,"0.1857",0.1499
"1370","065015","CO","059",168,"Yes","No","No",1.35,11.954,86.96,41.67,90.15,65.25,0,24.43,62.6,12.98,"0.1564",0.117
"1379","065108","CO","001",160,"No","No","No",0,11.915,85.31,20.83,57.5,65.7,0,25,58.33,16.67,".",0.0713
"1386","065129","CO","069",134,"No","Yes","No",0,13.176,86.25,28.3,75.47,63.33,0,32.38,51.43,16.19,"0.1470",0.1461
"1390","065146","CO","005",218,"No","Yes","No",0,12.697,78.57,28.02,54.4,65.37,0,45.05,47.8,7.14,".",0.1211
"1391","065147","CO","041",159,"No","Yes","No",0,11.347,74.77,9.32,66.1,56.77,0,51.3,39.13,9.57,"0.1269",0.1296
"1392","065150","CO","075",84,"No","Yes","No",0,10.935,87.25,16.67,86.11,59.81,0,25.68,52.7,21.62,".",0.1714
"1396","065163","CO","087",125,"No","No","No",1.85,12.295,84.32,19.27,58.72,52.99,0,15.6,44.04,40.37,".",0.0964
"1397","065165","CO","069",114,"Yes","Yes","No",0,10.454,71.27,18.39,62.07,51.35,0,44.19,43.02,12.79,".",0.1846
"1406","065176","CO","005",110,"Yes","Yes","No",0,12.657,74.49,22.99,78.16,48.79,0,27.59,60.92,11.49,"0.0805",0.1079
"1432","065219","CO","123",114,"No","Yes","No",0,12.277,67.45,16.48,74.73,54.25,0,55.29,44.71,0,"0.1907",0.1324
"1438","065226","CO","013",120,"No","Yes","No",0,9.876,71,20.48,55.42,50.27,0,30.12,69.88,0,"0.1423",0.1103
"1441","065229","CO","101",115,"Yes","Yes","No",1.23,11.308,71.8,18.57,65.71,53.01,0,44.29,35.71,20,"0.1946",0.2032
"1445","065233","CO","031",143,"No","Yes","No",0,12.908,81.32,19.27,71.56,67.2,0,35.78,53.21,11.01,"0.1141",0.0703
"1450","065238","CO","001",242,"Yes","Yes","No",0.5,10.667,76.87,8.77,66.08,58.14,0,37.06,47.06,15.88,".",0.1401
"1452","065240","CO","001",108,"No","Yes","No",0,11.782,79.92,11.76,67.06,60.62,0,33.77,53.25,12.99,".",0.1156
"1457","065245","CO","069",100,"Yes","Yes","No",0,12.174,87.49,18.39,39.08,66.22,0,26.14,48.86,25,".",0.129
"1459","065247","CO","041",91,"No","Yes","No",0,12.824,77.48,21.62,78.38,65.32,0,33.78,51.35,14.86,".",0.103
"1460","065248","CO","059",170,"Yes","Yes","No",0,13.159,77.77,16.94,62.1,57.46,0,14.63,74.8,10.57,".",0.1217
"1461","065249","CO","029",80,"No","Yes","No",0,10.881,86,29.41,44.12,58.93,0,51.43,48.57,0,".",0.0454
"1469","065257","CO","069",60,"Yes","Yes","No",0,12.246,80.44,25,65.91,78.46,0,25,40.91,34.09,"0.1611",0.1246
"1472","065260","CO","059",93,"Yes","Yes","No",0,12.4,80.77,16.25,68.75,68,0,16.25,70,13.75,"0.0985",0.1009
"1483","065273","CO","059",72,"No","Yes","No",0,12.22,72.53,21.67,73.33,41.12,0,52.54,47.46,0,".",0.0801
"1490","065282","CO","013",187,"No","Yes","No",0,12.424,84.36,18.8,73.5,65.84,0,26.23,64.75,9.02,".",0.123
"1497","065292","CO","059",105,"No","Yes","No",0,11.454,84.65,32.43,71.62,66.75,0,36.84,63.16,0,".",0.1129
"1499","065303","CO","005",135,"No","No","No",0,12.664,88.95,32.8,72,71.67,0,38.4,44.8,16.8,"0.1617",0.0849
"1506","065356","CO","041",121,"No","Yes","No",0,12.518,83.55,21.05,68.42,64.91,0,46.05,53.95,0,"0.1153",0.0534
"1507","065358","CO","001",120,"No","Yes","No",1.39,11.266,83.31,22.95,72.13,68.17,0,34.92,46.03,19.05,"0.1457",0.1284
"1508","065361","CO","035",120,"Yes","Yes","No",0,11.59,81.42,26.53,64.29,69.48,0,26.53,43.88,29.59,"0.1112",0.0826
